,Opening_date,Title,Actors,Country,Director,Genre,Language,Metascore,Runtime,Writer,Year,imdbRating,imdbVotes,Rotten_tomatoes,Review_date,Critic_name,Headline,Movie_review,Critics_pick,Omdb_revenue,Bo_revenue,Holiday
333,2011-06-08,,,,,,,,,,,,,,2017-11-02 04:18:13,MIKE HALE,Living a Drug Life in a World of Snow,"The title of Joonas Neuvonen’s “Reindeerspotting: Escape From Santaland” makes explicit the film’s premise: to take the kind of intimacy and immediacy Danny Boyle achieved in his fictional story of Glasgow heroin addicts, “Trainspotting,” and apply it to a documentary about Mr. Neuvonen’s fellow drug users in northern Finland.Mission accomplished. “Reindeerspotting,” primarily a portrait of an effervescent, smart and terribly sad young addict and thief named Jani, puts us right in the room — and the toilet stall, and the stolen car, and the fleabag hotel. Questions of the filmmaker’s role are moot, given Mr. Neuvonen’s literal complicity in his friends’ lives and misdeeds. He does draw a line when he’s asked to hold the stereo Jani is trying to detach from a dashboard, but he may have just needed both hands for the camera.Filming in 2003 (the movie was eventually completed by a Helsinki production house), Mr. Neuvonen captures amazing moments — burglaries in progress, a stoned friend tumbling several stories from a balcony to the sidewalk — and a coherent story emerges about Jani’s downward spiral, though it’s jumpy and episodic, stitched together with intertitles.It’s also a pretty familiar story, and “Reindeer,” despite Mr. Neuvonen’s verve and Jani’s charisma, can drag. Like a lot of addiction stories, it starts to mirror the monotony and self-absorption of the addict’s life. What saves it, finally, are Mr. Neuvonen’s instinctive, and considerable, skills as an image maker: long after you forget Jani’s story, you’ll remember the way the snowy landscapes look, and the surreal beauty of a nighttime reindeer race.Reindeerspotting: Escape From SantalandOpens on Wednesday in Manhattan. Directed by Joonas Neuvonen; director of photography, Mr. Neuvonen; edited by Sadri Cetinkaya; produced by Jesse Fryckman and Oskari Huttu/Bronson Club Oy. Part of the DocPoint NYC series; at the Roy and Niuta Titus Theaters, the Museum of Modern Art. In Finnish, with English subtitles. Running time: 1 hour 26 minutes. This film is not rated.",0,,,0
334,2017-09-29,Realive,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward","Belgium, Spain, France",Mateo Gil,"Drama, Sci-Fi",English,59.0,112.0,Mateo Gil (screenplay),2016,5.9,3901.0,79.0,2017-11-02 04:18:28,KEN JAWOROWSKI,"Review: In ‘Realive,’ a Man Is Reanimated in 2084","Like a “Black Mirror” episode combined with a philosophy seminar, “Realive” has plenty of brains. Yet it has a heart, too, and that adds a surprising amount of emotion to this above-average science-fiction film.Set in the past, present and future, all story lines center on Marc (Tom Hughes). His life is charted from his first breath (the movie’s opening shows an actual birth, up close) through scenes of his childhood before moving to a time near today, when he’s diagnosed with terminal cancer.Marc decides to cryo-freeze his body in hopes of later being cured, leading to his reanimation — or rebirth, if you will — in 2084. It’s no surprise that his plans have unexpected consequences.Mateo Gil, the writer and director, prizes ideas as much as action. Voice-overs have Marc expounding on memory, longing and mortality while the script probes the side effects of technology. The future scenes evoke the creepiness and claustrophobia of “Ex Machina” and, like that film, hark back to the “Frankenstein” story.The romance at the center of “Realive” keeps it from becoming too cold. Marc’s girlfriend, Naomi (Oona Chaplin), struggles with losing him, while Elizabeth (Charlotte Le Bon), his nurse in 2084, has affections and worries of her own. A montage recalling Marc and Naomi’s on-again, off-again relationship is one of several lovely moments from the exceptional cast.“Realive” occasionally sets a cautious pace, and the voice-overs can be wordy. But this film errs on the side of ambition, making such faults easy to excuse. For sure, Mr. Gil and his cast are exploring something here, and those efforts are well worth watching.",0,,,0
335,2015-11-12,,,,,,,,,,,,,,2017-11-02 04:18:23,RACHEL SALTZ,"Review: ‘Prem Ratan Dhan Payo,’ a Bollywood Tale of a Prince-and-Plebe Double","The Bollywood movie “Prem Ratan Dhan Payo” is set in contemporary India, though it’s one of palaces and quaint villages and low-rise cities, with the occasional iPhone and Mercedes thrown in for modernity and luxury branding’s sake.A fantasy about princes and princesses and perfect doubles, the story’s roots are as firmly planted in Hindu myth and epic as in Bollywood romance. We first see our hero, Prem (Salman Khan), a sweetie-pie actor, in a Ramlila, a play about Rama and Sita, the royal husband and wife whose tale is told in the Ramayana.Later, Prem (his name means “love”) impersonates a real prince (Mr. Khan again), a haughtier fellow who has been wounded in a foul-play horse-and-carriage accident and has then hidden in a cave to recover. And the Bollywood plot thickens: The prince is kidnapped and chained to a post in a sheesh mahal, or palace of mirrors, only to be rescued by Prem, their images multiplied in fun-house confusion. Through decency and playfulness, Prem brings peace to the warring parties of the royal family and snags the love of a princess (Sonam Kapoor) to boot.With its full complement of lavishly produced song-and-dance numbers, its filmi heroes and villains, and a two-hour, 40-minute runtime, “Prem” hews closely to the old-style Bollywood formula. At one point, the prince’s wayward brother plants his legs apart, swigs imported champagne from a bottle and shrieks “Freedom!” while the camera gazes up at him from below. (File under: “Villain, temporarily triumphant.”) In other words, the director, Sooraj R. Barjatya, courts and embraces cliché at every turn, which is both the movie’s charm and its limitation.At 49, Mr. Khan, in the double role of nice guy/sophisticated prince — Bollywood loves a double! — has shed some of his boyish twinkle, gained a rap sheet and overbulked his upper body. His dancing can feel leaden and his movie-star allure has dimmed. But persistence has its rewards; in true Hindi-movie style, by this long film’s end, Mr. Khan’s Prem may have wheedled his way into your affections.“Prem Ratan Dhan Payo” is not rated. It is in Hindi, with English subtitles. Running time: 2 hours 51 minutes.",0,,,0
336,2016-08-19,Spaceman,"Josh Duhamel, W. Earl Brown, Ernie Hudson, Winter Ave Zoli",USA,Brett Rapkin,"Comedy, Drama",English,35.0,90.0,Brett Rapkin,2016,5.4,436.0,,2017-11-02 04:18:25,NEIL GENZLINGER,"Review: In ‘Spaceman,’ a Pitcher Specializing in Brashness","Anyone going to “Spaceman” with the expectation of seeing a version of the major league career of Bill Lee, the pitcher known by that nickname, will be frustrated, maybe even annoyed. The film is interested not in the heart of Lee’s career — he pitched for Boston and Montreal from 1969 to 1982 — but in the end of it, and the slow process of letting go of the glory days.That makes this a different sort of baseball movie, one in which not much baseball is played. The effort is commendable, but the execution is rocky.Josh Duhamel portrays Lee, who had some good years in the majors but also had a contempt for authority that left him unloved by management. As we meet him, he is being shown the door by the Montreal Expos. He’s confident he’ll get another job offer, but his reputation in the league has poisoned his prospects, a realization that is a long time in coming.Many fans admired Lee for his brash fearlessness (he’s now a candidate for governor of Vermont), but the man we meet in this film isn’t particularly likable or charming, just annoying and self-destructive. The movie isn’t helped by occasional voice-overs by the main character, whose chirpiness in them is at odds with the sour fellow we’re seeing onscreen.The director, Brett Rapkin, has also made a documentary about Lee (“Spaceman: A Baseball Odyssey,” 2006) that focused on his post-major-league career, so he’s obviously fascinated with the guy. But here, intentionally or not, he deflates the Lee legend. This pitcher, like a lot of athletes, may never have been as compelling as the spotlight made him appear.NEIL GENZLINGER“Spaceman” is rated R (Under 17 requires accompanying parent or adult guardian) for language, drug use and shots of Mr. Duhamel in his underwear or less.",0,,,1
337,2010-01-22,Misconceptions,"Elliot Swift, David Sutcliffe, A.J. Cook, Nicole Burron",USA,Ron Satlof,"Comedy, Drama",English,,95.0,"Ira Pearlstein (screenplay), Ron Satlof (screenplay)",2008,4.8,191.0,,2017-11-02 04:18:10,JEANNETTE CATSOULIS,Portrait of a Gay Childless Couple,"In the breeding dramedy “Misconceptions,” a childless gay couple enters into a holy alliance with a fertile Christian wife. I suppose even a homophobic womb is better than none.This particular womb belongs to Miranda (A. J. Cook), a Georgia baker broodily seeking to replace the child she lost five years earlier. Miranda’s sister (Sarah Carter) has already “adopted” a surplus embryo from a fertility clinic; so when Miranda’s husband fails to uphold his end of the procreation bargain, a news item on television about a gay couple’s search for a surrogate convinces her that God has spoken. Soon, cross-shaped cookies aren’t the only treats in her oven.Then Terry (Orlando Jones), an African-American choreographer and one of the expectant fathers, arrives from Boston sporting a white suit and a “Swan Lake” ring tone. The ensuing culture clash (quick, hide the antigay banners!) unfolds as a ham-fisted medley of bad writing (by the director, Ron Satlof, and Ira Pearlstein) and good intentions.Spiked with phobic silliness — Miranda suffers a panic attack at the sight of Terry’s ornate Boston bedroom — “Misconceptions” is an asinine pileup of improbabilities. Most improbable of all is the omission of a surrogacy contract; maybe Mr. Pearlstein, a Brooklyn lawyer, just wasn’t paying attention.“Misconceptions” is part of a triple bill at the Quad Cinema — 34 West 13th Street in Greenwich Village — with “Watercolors” and ""Murder in Fashion.""MISCONCEPTIONSOpens on Friday in Manhattan.Directed by Ron Satlof; written by Mr. Satlof and Ira Pearlstein; director of photography, Curtis Graham; edited by George Mandl; music by Michael A. Levine; produced by Mr. Satlof, Steven J. Brown and Mr. Pearlstein; released by Here Films/Regent Releasing. Playing with “Murder in Fashion” and “Watercolors” at the Quad Cinema, 34 West 13th Street, Greenwich Village. Running time: 1 hour 35 minutes. This film is not rated.WITH: A. J.  Cook (Miranda Bliss), Orlando Jones (Terry Price-Owens), Sarah Carter (Lucy), David Moscow (Sandy Price-Owens), David Sutcliffe (Parker Bliss) and Samuel Ball (Tom Dexter).",0,,,0
338,2011-06-24,Vincent Wants to Sea,"Florian David Fitz, Karoline Herfurth, Heino Ferch, Katharina Müller-Elmau",Germany,Ralf Huettner,Drama,German,39.0,96.0,Florian David Fitz (screenplay),2010,7.1,4718.0,60.0,2017-11-02 04:18:13,PAUL BRUNICK,A Mission to See,"The title “Vincent Wants to Sea” is a painfully unpunny translation of the original German title “Vincent Will Meer,” a homophone of “Vincent will mehr” or “Vincent wants more.” Both titles boldly underline the metaphorical significance of the film’s literal journey — a road-trip from Munich to the Mediterranean by way of the Swiss Alps. The exact meanings may get lost in translation, but trite is a universal language apparently.Vincent (Florian David Fitz, who also wrote the screenplay) is a sensitive 27-year-old recluse with Tourette’s syndrome. His alcoholic mother has just died from cirrhosis, and his estranged father (Heino Ferch), a callous politician, has him committed to a psychiatric clinic so as not to disrupt the re-election campaign. But Vincent soon breaks out, and joined by an acerbic anorexic (Karoline Herfurth) and a neurotically fastidious obsessive-compulsive (Johannes Allmayer), he embarks on a quest to fulfill his mother’s final wish that her ashes be scattered over the Italian sea.Sounds pretty bleak. But don’t worry: every downbeat is pillowed in soft rock and gentle humor, every Ricola-commercial mountainscape is graced by colorful lens flares and rolling fog, and every clinical disorder is just an unredeemed ticket to self-realization. The principal characters can be reduced to a handful of tics, and the entire story line is immaculately devoid of incidental detail. It’s like sitting in a padded cell for about 90 minutes.That this film took the best-picture and actor prizes at this year’s German Film Awards is enough to make anyone a true believer in Hollywood.VINCENT WANTS TO SEAOpened on Friday in Manhattan.Directed by Ralf Huettner; written by Florian David Fitz; director of photography, Andreas Berger; edited by Kai Schroeter; music by Stevie B-Zet and Ralf Hildenbeutel; art direction by Heidi Lüdi; costumes by Natascha Curtius-Noss; produced by Viola Jäger and Harald Kügler; released by Corinth Films.  At the Cinema Village, 22 East 12th Street, Greenwich Village. In  German, with English subtitles. Running time: 1 hour 34 minutes. This  film is not rated.WITH:  Florian David Fitz (Vincent Gellner), Karoline Herfurth (Marie), Heino  Ferch (Robert Gellner) and Johannes Allmayer (Alexander).",0,,20065.0,1
339,2015-10-09,Trash,"Rickson Tevez, Wagner Moura, José Dumont, Daniel Zettel","UK, Brazil, Germany","Stephen Daldry, Christian Duurvoort(co-director)","Adventure, Crime, Drama","Portuguese, English",50.0,114.0,"Andy Mulligan (based on the novel by), Felipe Braga (additional material), Richard Curtis (screenplay by)",2014,7.2,17737.0,64.0,2017-11-02 04:18:22,STEPHEN HOLDEN,"Review: Stephen Daldry’s ‘Trash’ Is in the ‘Slumdog Millionaire’ Vein, With Sugar","The resourceful 14-year-old garbage pickers who leap and somersault through mountains of refuse in Stephen Daldry’s “Trash” are an irresistibly adorable triumvirate of adolescent charmers. The movie, adapted by Richard Curtis from Andy Mulligan’s 2010 novel, is a hyperkinetic juvenile thriller set in and around a Rio de Janeiro slum. The grimy splendor of the dump where the boys spend their days scavenging is so colorful that its contents look almost edible. These plucky lads think nothing of diving into the brown polluted water of its adjoining lake.“Trash” is a shameless bid to recycle the mystique of “Slumdog Millionaire,” its likable, overrated prototype. I have a vision of well-heeled American audience members settling back in their seats, breathing a collective sigh of comfort while digging into their popcorn and thinking “Awww, aren’t they sweet!” while disregarding the harsh reality behind this fairy tale. Doesn’t everybody love angels with dirty faces?Mr. Daldry is no slouch when it comes to directing mischievous adolescents, having made his directorial feature film debut with “Billy Elliot” and then gone on to oversee its Broadway musical incarnation. “Trash” appears readymade for a similar theatrical transmutation. Like its opulent visuals, the soundtrack — a propulsive hybrid of samba, Brazilian hip-hop and Hollywood lushness — is a bit too much of a good thing.ImageCreditJoseph Anthony Lawrence/Focus WorldThis fantasy adventure begins with a police raid in which José Angelo (Wagner Moura), a virtuous grown-up tattletale, is tortured and killed by cops in the pay of a corrupt mayoral candidate. Before his capture, he tosses his wallet into a garbage truck, whose contents land in the dump where Rafael (Rickson Tévis), one of the boys, finds it. He shares the cash with his pals Gardo (Eduardo Luís) and Ráto (Gabriel Weinstein), a.k.a. Rat, who discovers a key that opens a downtown locker in which they find a piece of paper scrawled with a code.In a harebrained film that makes as much sense as the “National Treasure” movies, the boys find themselves running for their lives with swarms of goons in pursuit. Not only acrobats but also little geniuses who outwit and outrun their enemies, they crack the code, rooted in the Bible, to reveal the candidate’s dirty dealings. Sandwiched between action scenes are videos made by the boys in which they speak directly to the camera.In the movie’s weakest sections, a chubby American priest (Martin Sheen) who works with the poor helps them, while mouthing nonsensical platitudes like “Don’t waste your life fighting battles that make you bitter or make you dead.” His assistant, Olivia (Rooney Mara, in a wispy role), has little to do but look pretty and help the boys in a weepy subplot that barely gets off the ground before it’s abandoned. “Trash” has more than its share of religious hokum: anything that might conceivably squeeze out an extra tear or sigh. I left the screening having almost fainted from sugar shock.“Trash” is rated R (Under 17 requires accompanying parent or adult guardian) for violence and some strong language.",0,10230.0,17484.0,0
340,2015-11-25,Trumbo,"Bryan Cranston, Michael Stuhlbarg, David Maldonado, John Getz",USA,Jay Roach,"Biography, Drama",English,60.0,124.0,"John McNamara, Bruce Cook (book)",2015,7.5,66182.0,74.0,2017-11-02 04:18:23,MANOHLA DARGIS,"Review: Bryan Cranston in ‘Trumbo,’ as a Screenwriter in a Hollywood Under Siege","In “Trumbo,” an ill-conceived take on one of the most famous targets of the Hollywood blacklist, the writer Dalton Trumbo clenches a cigarette holder that juts in the air like a sword. Given that he’s played by Bryan Cranston (“Breaking Bad”), you have hopes that Trumbo will soon be making like Errol Flynn and dashing and slashing through the movie, giving it verve, excitement. The real Trumbo (1905-1976) was a pistol. A baker-intellectual turned industry insider, he was funny, barbed and wildly prolific, with screen credits that range from “Kitty Foyle” to “Spartacus.” He was also a Communist, which for many made him a traitor, the Devil, no more than a terrorist.Part biopic, part historical gloss, “Trumbo” tells a great-man story with a patchwork of fact and fiction, mixing in the odd bit of newsreel with a great many dull, visually flat and poorly lighted dramatic scenes. Written by John McNamara and directed by Jay Roach, it opens in 1947 in Los Angeles, where, in between shouts of “Action!” and “Cut!” and the usual wheeling and dealing, Hollywood is coming under siege. That was the year that the House Un-American Activities Committee held hearings in both Los Angeles and Washington to look into Communist doings. Witnesses were summoned, including the famed Hollywood 10 — Trumbo among them — who refused to testify, were deemed “unfriendly,” cited for contempt of Congress, fined, sentenced and jailed.This is the backdrop for the movie, which routinely casts an eye at the big political picture but prefers to narrow in on the more personal story of Trumbo’s struggles at home and at work. To that end there’s the domestic soap involving his loyal, loving, blandly conceived wife, Cleo (Diane Lane), and their three children. Oddly, the eldest, Niki (Madison Wolfe plays her until Elle Fanning steps in), ends up having more narrative and emotional weight than Cleo. Niki’s prominence smacks of a screenwriting contrivance, mostly as a way to paint Trumbo as someone who remained a loving family man despite his ordeals, but too often when he explains stuff to his daughter (Dad, are you a Communist?) the filmmakers are obviously explaining stuff to the audience.It’s rotten when a movie for grown-ups talks to its audience as if it were a child. Then again, with its wall-to-wall caricatures, its bellowing and mugging (including from Mr. Cranston) and historical reductivism, “Trumbo” sometimes evokes an old Looney Tunes sendup of Tinsel Town, though without the beauty, wit, visual style or economy. Some of the bellowers offer welcome relief, notably John Goodman as Frank King, one of the B-movie independents, who with his brother Hymie (Stephen Root) gives Trumbo work when the establishment refuses to. Mr. Goodman gooses the movie to life, as does Helen Mirren as Hedda Hopper, the gossip queen who here, ridiculously, becomes the embodiment of everything that stinks in Hollywood, never mind the titans who ran it.It’s impossible to tell if the filmmakers don’t trust the audience or simply don’t have the chops, guts or heart to do this story justice. The blacklist remains vital and lamentably topical, and it’s clear why someone thought it was a good time to pull Trumbo back into the limelight. But the man who helped give us “Gun Crazy,” an American masterpiece, among many other titles, deserves a smarter portrait. The movie doesn’t just dumb down history, it also elides and slides over critical milestones, both personal and public, as well as the complex ideological divides that turned friends into enemies. Its Trumbo is a charmer who wears his contradictions so lightly you might not notice them, despite the occasional ribbing from his friends. You have to wonder if the real Trumbo would recognize him.“Trumbo” is rated R (Under 17 requires accompanying parent or adult guardian) for sexual references. Running time: 2 hours 4 minutes.",0,,7857741.0,0
341,2017-09-15,Alina,"Gina Lollobrigida, Amedeo Nazzari, Doris Dowling, Juan de Landa",Italy,Giorgio Pastina,Drama,Italian,,90.0,"Carlo Duse (scenario), Faldella (subject & scenario), Giorgio Pastina (scenario)",1950,6.5,31.0,,2017-11-02 04:18:28,BEN KENIGSBERG,"Review: ‘Alina’ Is the Work of an Indie Film Veteran, New at Directing","Ben Barenholtz has been a film distributor, exhibitor and producer, who has influenced the careers of David Lynch, John Sayles and Joel and Ethan Coen. He has even been credited with inventing the concept of the midnight movie at Chelsea’s long-gone Elgin Theater, which he ran. Alas, the self-financed “Alina,” his first fiction feature as a director, looks like the work of someone just starting out.This fish-out-of-water story goes to predictable places in unconvincing ways. Alina (Darya Ekamasova), a Russian with a passion for photography, travels to New York seeking her father, whom she’s never met. (Not wanting to alarm her mother, she pretends she’s going to Cuba.)Alina soon discovers the city is full of sharks. She moves in with an old friend (Anna Vlads) and her two roommates, not realizing that when they bring her to a party, they expect her to have sex with the rich hosts. When she goes to work for a nightclub owner (Grisha Reydler) who has helped with her search, she is slow to realize that the job involves more than serving champagne.Although the internet and cellphones exist in the movie, there’s a dated quality to the premise. Even if Alina’s only clue is an old photograph of a man who may be her father, tracking down the owners of the building in the photo — which has a visible address — seems like a task for search engines. And if you were to go the route of simply finding someone who knows someone, repeatedly, as Alina does, it would probably involve less coincidence.",0,,,0
342,2009-12-18,Avatar,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","UK, USA",James Cameron,"Action, Adventure, Fantasy","English, Spanish",83.0,162.0,James Cameron,2009,7.8,1003716.0,82.0,2017-11-02 04:18:10,MANOHLA DARGIS,"A New Eden, Both Cosmic and Cinematic","With “Avatar” James Cameron has turned one man’s dream of the movies into a trippy joy ride about the end of life — our moviegoing life included — as we know it. Several decades in the dreaming and more than four years in the actual making, the movie is a song to the natural world that was largely produced with software, an Emersonian exploration of the invisible world of the spirit filled with Cameronian rock ’em, sock ’em pulpy action. Created to conquer hearts, minds, history books and box-office records, the movie — one of the most expensive in history, the jungle drums thump — is glorious and goofy and blissfully deranged.The story behind the story, including a production budget estimated to top $230 million, and Mr. Cameron’s future-shock ambitions for the medium have already begun to settle into myth (a process partly driven by the publicity, certainly). Every filmmaker is something of a visionary, just by virtue of the medium. But Mr. Cameron, who directed the megamelodrama “Titanic” and, more notably, several of the most influential science-fiction films of the past few decades (“The Terminator,” “Aliens” and “The Abyss”), is a filmmaker whose ambitions transcend a single movie or mere stories to embrace cinema as an art, as a social experience and a shamanistic ritual, one still capable of producing the big  WOW.The scale of his new movie, which brings you into a meticulous and brilliantly colored alien world for a fast 2 hours 46 minutes, factors into that wow. Its scope is evident in an early scene on a spaceship (the year is 2154), where the passengers, including a paraplegic ex-Marine, Jake (Sam Worthington, a gruffly sensitive heartthrob), are being roused from a yearslong sleep before landing on a distant inhabited moon, Pandora. Jake is woken by an attendant floating in zero gravity, one of many such aides. As Jake himself glides  through the bright cavernous space, you know you’re not in Kansas anymore, as someone soon quips (a nod to “The Wizard of Oz,” Mr. Cameron’s favorite film). You also know you’re not in the gloom of “The Matrix.”Though it’s easy to pigeonhole Mr. Cameron as a gear head who’s more interested in cool tools (which here include 3-D), he is, with “Avatar,” also making a credible attempt to create a paradigm shift in science-fiction cinema. Since it was first released in 1999, “The Matrix,” which owes a large debt to Mr. Cameron’s own science-fiction films as well as the literary subgenre of cyberpunk, has hung heavily over both SF and action filmmaking. Most films that crib from “The Matrix” tend to borrow only its slo-mo death waltzes and leather fetishism, keeping its nihilism while ditching the intellectual inquiries. Although “Avatar” delivers a late kick to the gut that might be seen as nihilistic (and how!), it is strangely utopian.It doesn’t take Jake long to feel the good vibes. Like Neo, the savior-hero of the “Matrix” series played by Keanu Reeves, Jake is himself an avatar because he’s both a special being and an embodiment of an idea, namely that of the hero’s journey. What initially makes Jake unusual is that he has been tapped to inhabit a part-alien, part-human body that he controls, like a puppeteer, from its head to its prehensile tail. Like the rest of the human visitors who’ve made camp on Pandora, he has signed on with a corporation that’s intent on extracting a valuable if mysterious substance from the moon called unobtainium, a great whatsit  that is an emblem of humanity’s greed and folly. With his avatar, Jake will look just like one of the natives, the Na’vi, a new identity that gives the movie its plot turns and politics.The first part of Jake’s voyage — for this is, above all, a boy’s rocking adventure, if one populated by the usual tough Cameron chicks — takes him from a wheelchair into a 10-foot, blue-skinned Na’vi body. At once familiar and pleasingly exotic, the humanoid Na’vi come with supermodel dimensions (slender hips, a miniature-apple rear); long articulated digits, the better to grip with; and the slanted eyes and twitchy ears of a cat. (The gently curved stripes that line their blue skin, the color of twilight, bring to mind the markings on mackerel tabby cats.) For Jake his avatar, which he hooks into through sensors while lying in a remote pod in a semiconscious state, is at first a giddy novelty and then a means to liberation.Plugging into the avatar gives Jake an instant high, allowing him to run, leap and sift dirt through his toes, and freeing him from the constraints of his body. Although physically emancipated, he remains bound, contractually and existentially, to the base camp, where he works for the corporation’s top scientist, Dr. Grace Augustine (Sigourney Weaver, amused and amusing), even while taking orders from its head of security, Col. Miles Quaritch (Stephen Lang), a military man turned warrior for hire. A cartoon of masculinity, Quaritch strides around barking orders like some intransigent representation of American military might (or a bossy movie director). It’s a favorite Cameron type, and Mr. Lang, who until this year had long been grievously underemployed, tears into the role like a starved man gorging on steak.Mr. Cameron lays out the fundamentals of the narrative efficiently, grabbing you at once with one eye-popping detail after another and on occasion almost losing you with some of the comically broad dialogue. He’s a masterly storyteller if a rather less nimble prose writer. (He has sole script credit: this is personal filmmaking on an industrial scale.) Some of the clunkier lines (“Yeah, who’s bad,” Jake taunts a rhinolike creature he encounters) seem to have been written to placate those members of the Michael Bay demographic who might find themselves squirming at the story’s touchier, feelier elements, its ardent environmentalism and sincere love story, all of which kick in once Jake meets Neytiri, a female Na’vi (Zoë Saldana, seen only in slinky Na’vi form).Mr. Cameron has said that he started thinking about the alien universe that became Pandora and its galactic environs in “Avatar” back in the 1970s. He wrote a treatment in 1996, but the technologies he needed to turn his ideas into images didn’t exist until recently. New digital technologies gave him the necessary tools, including performance capture, which translates an actor’s physical movements into a computer-generated image (CGI). Until now, by far the most plausible character created in this manner has been slithery Gollum from Peter Jackson’s “Lord of the Rings” cycle. The exotic creatures in “Avatar,” which include an astonishment of undulating, flying, twitching and galloping organisms, don’t just crawl through the underbrush;  they thunder and shriek, yip and hiss, pointy teeth gleaming.The most important of these are the Na’vi, and while their movements can bring to mind old-fashioned stop-motion animation, their faces are a triumph of tech innovation, with tremors and twitches that make them immediately appealing and empathetic. By the time Neytiri ushers Jake into her world of wonders — a lush dreamscape filled with kaleidoscopic and bioluminescent flora and fauna, with pink jellyfishlike creatures that hang in the air and pleated orange flowers that snap shut like parasols — you are deep in the Na’vi-land. It’s a world that looks as if it had been created by someone who’s watched a lot of Jacques Cousteau television or, like Mr. Cameron, done a lot of diving. It’s also familiar because, like John Smith in “The New World,” Terrence Malick’s retelling of the Pocahontas story, Jake has discovered Eden.An Eden in three dimensions, that is. In keeping with his maximalist tendencies, Mr. Cameron has shot “Avatar” in 3-D (because many theaters are not equipped to show 3-D, the movie will also be shown  in the usual 2), an experiment that serves his material beautifully. This isn’t the 3-D of the 1950s or even contemporary films, those flicks that try to give you a virtual poke in the eye with flying spears. Rather Mr. Cameron uses 3-D to amplify the immersive experience of spectacle cinema. Instead of bringing you into the movie with the customary tricks, with a widescreen or even Imax image filled with sweeping landscapes and big action, he uses 3-D  seemingly to close the space between the audience and the screen. He brings the movie to you.After a few minutes the novelty of people and objects hovering above the row in front of you wears off, and you tend not to notice the 3-D, which speaks to the subtlety of its use and potential future applications. Mr. Cameron might like to play with high-tech gadgets, but he’s an old-fashioned filmmaker at heart, and he wants us to get as lost in his fictional paradise as Jake eventually does. On the face of it there might seem something absurd about a movie that asks you to thrill to a natural world made almost entirely out of zeroes and ones (and that feeds you an anticorporate line in a corporately financed entertainment). But one of the pleasures of the movies is that  they transport us, as Neytiri does with Jake, into imaginary realms, into Eden and over the rainbow to Oz.If the story of a paradise found and potentially lost feels resonant, it’s because “Avatar” is as much about our Earth as the universe that Mr. Cameron has invented. But the movie’s truer meaning is in the audacity of its filmmaking.Few films return us to the lost world of our first cinematic experiences, to that magical moment when movies really were bigger than life (instead of iPhone size), if only because we were children. Movies rarely carry us away, few even try. They entertain and instruct and sometimes enlighten. Some attempt to overwhelm us, but their efforts are usually a matter of volume. What’s often missing is awe, something Mr. Cameron has, after an absence from Hollywood, returned to the screen with a vengeance. He hasn’t changed cinema, but with blue people and pink blooms he has confirmed its wonder.“Avatar” is rated PG-13 (Parents strongly cautioned). Gun and explosive violence, death and despair.AVATAROpens on Friday nationwide.Written and directed by James Cameron; director of photography, Mauro Fiore; edited by Mr. Cameron, John Refoua and Stephen Rivkin; music by James Horner; visual effects supervisor, Joe Letteri; production designers, Rick Carter and Robert Stromberg; produced by Mr. Cameron and Jon Landau; released by 20th Century Fox. Running time: 2 hours 46 minutes.WITH: Sam Worthington (Jake Sully), Zoë Saldana (Neytiri), Sigourney Weaver (Dr. Grace Augustine), Stephen Lang (Col. Miles Quaritch), Michelle Rodriguez (Trudy Chacon), Giovanni Ribisi (Parker Selfridge), Joel David Moore (Norm), C C H Pounder (Mo’at), Wes Studi (Eytukan) and Laz Alonso (Tsu’Tey).",1,749700000.0,749766139.0,1
